youtube_id,row_id,timestamp_ms,class_id,class_name,object_id,object_presence,xmin,xmax,ymin,ymax
-2jT03Kh1U4,5507486,0,0,person,0,present,0.525,0.635,0.31,0.77
-3hkY1nwQpw,5508813,281000,3,boat,3,present,0.35100000000000003,0.866,0.055,0.9816667
-5-iXEEpykk,5511567,43000,15,train,0,absent,-1.0,-1.0,-1.0,-1.0
-5oHzS_AEGI,5511095,0,4,bus,0,present,0.455,0.95,0.47166666,0.8233333
-9nRKv7NJeY,5515923,328000,0,person,0,present,0.441,0.5379999999999999,0.325,0.6566666999999999
-ANpsYG8nzU,5433628,268000,11,motorcycle,0,present,0.289,0.5870000000000001,0.30666667,0.97333336
-C5Ol7aXvac,5437132,43000,10,horse,2,present,0.561,0.947,0.27666667,0.91333336
-CT5dqstH_4,5436232,120000,0,person,0,absent,-1.0,-1.0,-1.0,-1.0
-FCoX2TrjLE,5440199,28000,11,motorcycle,0,absent,-1.0,-1.0,-1.0,-1.0
-HPLTAGHt4Y,5443459,0,0,person,0,absent,-1.0,-1.0,-1.0,-1.0
-HS4cyaBkeA,5443583,28000,11,motorcycle,1,present,0.098,0.821,0.7783333,1.0
-MI-Sit8lW0,5449709,0,14,skateboard,0,present,0.284,0.595,0.57,0.7733333
-PvOQArgxmo,5455394,2276000,20,elephant,0,absent,-1.0,-1.0,-1.0,-1.0
-RXKxOrEXTk,5457303,88000,0,person,0,present,0.94,1.0,0.67,1.0
-S8TC3c5CfA,5459713,43000,0,person,0,present,0.363,0.7140000000000001,0.0,0.8383333000000001
-ThBBxw_IeM,5460197,73000,10,horse,0,present,0.769,1.0,0.23166667,0.5
-U29-bT-edU,5462480,58000,0,person,1,present,0.418,0.438,0.335,0.405
-UTl9S0Up_k,5461439,28000,14,skateboard,3,absent,-1.0,-1.0,-1.0,-1.0
-UccK2-w72w,5461852,43000,0,person,0,present,0.314,0.377,0.24833333,0.5133333
-cVHtbTW2Ro,5472734,0,10,horse,0,absent,-1.0,-1.0,-1.0,-1.0
-evtyzsh4NE,5476458,28000,10,horse,1,present,0.305,0.841,0.27666667,0.74333334
-fsmlzF4_Sc,5478147,43000,0,person,0,present,0.282,0.387,0.09833334,0.7033333
-hudfluh0cE,5480952,268000,11,motorcycle,0,present,0.387,1.0,0.6383333000000001,1.0
-kKcd65GPSc,5483594,88000,0,person,0,absent,-1.0,-1.0,-1.0,-1.0
-kbWUbFv5Ok,5484116,298000,0,person,0,present,0.68,1.0,0.05,0.59166664
-klrXupOu7k,5484266,103000,10,horse,0,present,0.28800000000000003,1.0,0.145,0.97833335
-lt7EvzxSsk,5485764,43000,0,person,0,present,0.5489999999999999,0.7509999999999999,0.25,0.67833334
-m06W_YHf-s,5487205,43000,10,horse,0,present,0.464,0.7879999999999999,0.21166667,0.67333335
-nv48oYuyRU,5488716,0,0,person,0,present,0.551,0.8390000000000001,0.0,1.0
-treLJgMcV8,5496563,0,0,person,0,present,0.201,0.522,0.06666667,0.8383333000000001
-uDpenVUfeM,5497089,103000,0,person,0,present,0.473,0.636,0.12666667,0.5683333
-uEqsObiykk,5497148,28000,11,motorcycle,1,present,0.585,0.6659999999999999,0.9033333,1.0
-w67dFjUQRY,5500540,42000,0,person,1,present,0.222,0.453,0.0,0.81166667
-wST9uo4Meg,5499597,43000,0,person,0,absent,-1.0,-1.0,-1.0,-1.0
-x28CZbX1-c,5501764,0,10,horse,0,present,0.473,0.8420000000000001,0.27333334,0.66
-xDMc0WERHc,5500914,0,14,skateboard,0,present,0.34600000000000003,0.541,0.72333336,0.875
00W92xBwtAw,4629975,43000,10,horse,0,present,0.16899999999999998,0.8270000000000001,0.195,0.91
00w4zgjuhoI,4630622,0,11,motorcycle,0,present,0.249,1.0,0.25,1.0
01Y0VqeZ92c,4631403,0,0,person,0,present,0.48,0.6509999999999999,0.16,0.60833335
02GnfIuLAO4,4632640,13000,0,person,0,present,0.893,1.0,0.25333333,1.0
02SYWh2GLJA,4633053,0,0,person,0,present,0.408,0.595,0.495,0.89666665
0307ixfTgO8,4635401,13000,0,person,0,absent,-1.0,-1.0,-1.0,-1.0
03Lh1a8hl7k,4634485,88000,0,person,0,present,0.193,0.469,0.0,0.575
04wEVTEgcjQ,4637194,0,10,horse,0,present,0.2,0.8740000000000001,0.036666665,0.995
05xAVmw8p_4,4638788,133000,0,person,0,present,0.0,0.304,0.0016666667,1.0
08J9lMuBf10,4642277,208000,0,person,0,present,0.616,0.6759999999999999,0.30166668,0.455
0ArzTUzZUrc,4556333,28000,0,person,0,present,0.5870000000000001,1.0,0.0,0.595
0DfG444DXr0,4560017,13000,3,boat,0,present,0.022,0.774,0.51,0.8466667
0F5bVP67zJQ,4563304,13000,10,horse,0,present,0.63,0.818,0.415,0.69666666
0JDbKuHBo94,4568734,0,0,person,0,present,0.12,0.192,0.20833333,0.62
0KcQTFLVUdQ,4570683,0,10,horse,0,present,0.376,0.53,0.36166668,0.54333335
0M9Fwov0ZLU,4573714,43000,0,person,0,present,0.909,1.0,0.58166665,1.0
0NoEMzQatDo,4574951,0,0,person,0,present,0.384,0.55,0.28166667,0.88166666
