youtube_id,row_id,timestamp_ms,class_id,class_name,object_id,object_presence,xmin,xmax,ymin,ymax
--VxF9iwB14,5517121,43000,23,car,0,present,0.115,0.245,0.36833334,0.5183333
--tcPnqnk28,5517475,0,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
--zbX0GZR1I,5517604,28000,23,car,0,present,0.298,0.62,0.19,0.61833334
-0MolBWQQO4,5504509,13000,23,car,0,present,0.102,1.0,0.0,0.8433333000000001
-0hp-q741Is,5504750,299000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
-1WPxAKgNlM,5505961,0,23,car,0,present,0.261,0.7709999999999999,0.018333333,0.74666667
-3EA5ICc9GE,5508218,0,23,car,0,present,0.011,1.0,0.13833334,0.9033333
-3K26M-m_00,5508254,0,23,car,0,present,0.098,0.875,0.455,0.8183333
-3XA7ksGTPY,5508562,13000,23,car,0,present,0.001,0.6890000000000001,0.285,0.67333335
-4RCVIcXJ0w,5509589,0,23,car,0,present,0.0,1.0,0.0,0.885
-53c8d34ojE,5511415,58000,23,car,0,present,0.0,1.0,0.0,1.0
-6dQmZK7sQs,5512132,193000,23,car,0,present,0.019,0.795,0.32666665,0.885
-7awJE4cqBk,5513226,0,23,car,0,present,0.191,0.454,0.38333333,0.6533333
-7ere8g2fQE,5513318,269000,23,car,0,present,0.132,1.0,0.10666667,0.76
-7guTRv6FvE,5513387,0,23,car,0,present,0.0,0.774,0.0,1.0
-8W6j-yDb-8,5514204,0,23,car,0,present,0.138,0.911,0.12166667,0.7783333
-9IjKdQLqYE,5515253,103000,23,car,0,present,0.933,1.0,0.5083333,0.855
-9ZOKpb96yg,5515548,223000,23,car,0,present,0.0,1.0,0.0,1.0
-9gb-qImLs0,5515697,43000,23,car,0,present,0.142,0.816,0.0,0.7416666999999999
-9hVw8_eEQo,5515752,178000,23,car,0,present,0.0,1.0,0.0,1.0
-ABhay3jn5k,5433482,12000,23,car,0,present,0.0,1.0,0.16666667,1.0
-ADyyWIkjGc,5433502,0,23,car,0,present,0.17,0.767,0.0,0.615
-AUOsJW7CY4,5433797,104000,23,car,0,present,0.0,0.823,0.0,0.83
-CPvNt-LOJs,5436135,163000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
-DYwTnKsMq0,5438041,43000,23,car,0,present,0.25,1.0,0.021666666,1.0
-E1Lmxn3RaQ,5439964,0,23,car,0,present,0.244,0.971,0.21,1.0
-EjQcSJ_eMI,5439614,491000,23,car,0,present,0.0,1.0,0.20166667,1.0
-EvykCT3550,5439815,13000,23,car,0,present,0.241,0.725,0.87166667,1.0
-F5G8FGDPLA,5441463,28000,23,car,0,present,0.009000000000000001,1.0,0.27166668,1.0
-FQbBiUM1Uc,5440569,0,23,car,0,present,0.6779999999999999,1.0,0.26833335,0.7266667
-Fumev7g7eo,5441154,0,23,car,0,present,0.63,0.7859999999999999,0.22333333,0.31833333
-Fvyl6kq-Tk,5441188,0,23,car,0,present,0.257,1.0,0.11666667,0.6166666999999999
-GHsN2xgN78,5442026,0,23,car,0,present,0.055,0.905,0.28833333,0.8
-HS0tH402Jk,5443493,0,23,car,0,present,0.249,0.936,0.09833334,0.855
-I8Ho4sKlUg,5445416,193000,23,car,0,present,0.0,0.95,0.0,0.8
-JFK6_Cmp5Q,5445621,0,23,car,0,present,0.0,1.0,0.111666664,0.885
-JatSTev0Uo,5446158,43000,23,car,0,present,0.116,0.8809999999999999,0.31333333,0.65833336
-KhHf4PV674,5447626,13000,23,car,0,present,0.006999999999999999,0.995,0.24833333,0.99666667
-KrzmV1u5zY,5447922,12000,23,car,0,present,0.265,0.805,0.16333333,0.76
-KxjGDWiaGc,5448092,88000,23,car,9,present,0.133,0.941,0.25333333,0.9166667
-LQmutag6S0,5448683,11000,23,car,0,present,0.0,1.0,0.33833334,0.9583333
-LT7rTbhrN4,5448704,0,23,car,0,present,0.0,1.0,0.195,0.745
-LUZMjhcMgk,5448721,13000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
-Lgd3lVW7Vs,5448869,13000,23,car,0,present,0.275,0.7659999999999999,0.21166667,0.81
-M6bJwVw7M4,5450696,13000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
-MKo_pMyizI,5449783,13000,23,car,0,present,0.061,0.972,0.20166667,1.0
-MLnwzIqh8M,5449802,147000,23,car,0,present,0.106,0.825,0.15833333,0.74
-ND1KUm4bxY,5450938,193000,23,car,0,present,0.0,1.0,0.0,0.62666667
-NM4_TECHXg,5451296,41000,23,car,0,present,0.0,0.979,0.0,0.95
-NyOXLrSW4U,5452280,0,23,car,0,present,0.0,0.838,0.0,0.91833335
-OKbJJ-pbxI,5452747,0,23,car,0,present,0.18600000000000005,1.0,0.0,0.875
-Q0hxc10ICs,5456561,223000,23,car,0,present,0.18600000000000005,0.952,0.13833334,0.695
-Q1jCHIh_gI,5456602,14000,23,car,0,present,0.0,0.133,0.3,0.425
-RLtURlVR_k,5457155,13000,23,car,0,present,0.0,0.857,0.16,0.99833333
-SV4RGNoauc,5458733,88000,23,car,0,present,0.0,0.899,0.0,0.76666665
-T1_rhV-_O4,5460792,88000,23,car,0,present,0.0,1.0,0.0,1.0
-T3t0QVJCus,5460827,148000,23,car,0,present,0.039,0.95,0.053333335,0.745
-TVNo0i0zAs,5459974,27000,23,car,2,present,0.0,1.0,0.0,1.0
-Ub4j75qysc,5461683,58000,23,car,0,present,0.11,0.903,0.07833333,0.975
-Ur6iHEg-5o,5462275,0,23,car,0,present,0.0,0.858,0.06666667,0.9533333
-VfvrxpeLYw,5463437,223000,23,car,0,present,0.0,0.85,0.0,0.8433333000000001
-X-URw8f6vM,5466484,0,23,car,0,present,0.168,0.8,0.355,0.84833336
-XBXiXf1X-k,5465204,163000,23,car,0,present,0.358,0.998,0.13666667,0.74666667
-XXp-yltG5w,5465540,0,23,car,0,present,0.139,1.0,0.071666665,0.82666665
-Xeo_M4OLn0,5465690,0,23,car,0,present,0.0,0.968,0.26666668,0.72333336
-XjaTtXqgnE,5465783,0,23,car,0,present,0.113,0.935,0.033333335,0.775
-XlkQsvuA2g,5465947,73000,23,car,2,absent,-1.0,-1.0,-1.0,-1.0
-YKwjfCuzKY,5466648,0,23,car,0,present,0.113,0.878,0.048333332,0.805
-YaW3duCqUA,5467037,13000,23,car,0,present,0.0,0.887,0.0,1.0
-Z6FJeeJ5mk,5469210,15000,23,car,0,present,0.141,1.0,0.0,0.64
-ZNkRLSbrJU,5468059,28000,23,car,0,present,0.113,0.893,0.44,0.72
-ZTjj0h6P5s,5468172,0,23,car,0,present,0.303,0.778,0.195,0.7216667
-_kaKxgUAKg,5518403,0,23,car,0,present,0.0,1.0,0.0,1.0
-aI7ZmyXFrg,5469699,148000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
-anex1-XkZg,5470199,0,23,car,0,present,0.087,0.95,0.29666665,0.845
-bHaob2IExo,5471265,133000,23,car,0,present,0.058,0.865,0.24,0.795
-bazQGXWjps,5471669,103000,23,car,0,present,0.557,0.625,0.35333332,0.475
-bpubRUtPi0,5471915,28000,23,car,1,present,0.16699999999999998,1.0,0.0,0.75333333
-cKmGUuFBSI,5472430,13000,23,car,0,present,0.234,0.8270000000000001,0.08666666599999999,0.855
-cMq06eoRKg,5472485,43000,23,car,2,present,0.0,0.8640000000000001,0.0,0.755
-chKQxmMgE8,5473015,13000,23,car,0,present,0.0,0.758,0.026666667,1.0
-dbeF7lAx2Q,5474672,0,23,car,0,present,0.021,0.775,0.13666667,0.6483333
-e2R1n9DXQA,5476721,0,23,car,0,present,0.096,0.868,0.036666665,0.9116667
-e_xeTPbplo,5477185,73000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
-eou2IiWhA0,5476418,268000,23,car,0,present,0.0,1.0,0.0,1.0
-f-BzoGOyFQ,5478556,13000,23,car,0,present,0.038,0.87,0.0,0.64166665
-fGy9ezjrJs,5477278,103000,23,car,0,present,0.006,1.0,0.0,1.0
-ffZPW1mICE,5477892,538000,23,car,0,present,0.21600000000000005,0.8009999999999999,0.35833332,0.745
-g30w54KmV4,5479514,41000,23,car,0,present,0.295,0.596,0.32666665,0.5833333
-hpn91kUPM4,5480841,28000,23,car,0,present,0.0,1.0,0.0,1.0
-hvkcyPp4W4,5481047,13000,23,car,0,present,0.302,0.401,0.37166667,0.46833333
-jxc1KjbODQ,5483194,208000,23,car,0,present,0.7090000000000001,1.0,0.44,0.72833335
-kpw42cXKEk,5484394,12000,23,car,0,present,0.125,0.995,0.0,1.0
-lAqc-fI0PQ,5484803,0,23,car,0,present,0.111,0.948,0.016666668,0.82
-la-Q7kO-58,5485225,58000,23,car,0,present,0.073,0.996,0.0,0.72833335
-mBKYhG_8e0,5486342,178000,23,car,0,present,0.102,1.0,0.245,0.83
-naoSRD45zI,5488132,313000,23,car,0,present,0.044,1.0,0.09,0.855
-nxI-kaIhrM,5488769,58000,23,car,0,present,0.0,1.0,0.24,1.0
-qNtfSiKl9M,5492001,70000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
-qcJAPARbzk,5492211,0,23,car,0,present,0.218,0.7809999999999999,0.096666664,0.78333336
-qi9WIDzIvI,5492298,58000,23,car,0,present,0.0,1.0,0.0,1.0
-qyLKeRBT4s,5492428,480000,23,car,0,present,0.482,1.0,0.0,0.99833333
-rFd9Tk2b1U,5492836,0,23,car,0,present,0.141,0.951,0.0,0.94
-rOZKep8Drc,5493095,28000,23,car,0,present,0.0,0.894,0.35666665,1.0
-rfeaJrloyY,5493418,103000,23,car,0,present,0.0,0.468,0.255,0.625
-sDNVjqg4cM,5494121,0,23,car,0,present,0.068,0.918,0.123333335,0.90166664
-sSUj77Z-no,5494359,0,23,car,0,present,0.0,0.973,0.0,1.0
-sVC570sfX0,5494394,28000,23,car,0,present,0.8170000000000001,0.926,0.48833334,0.6016667
-slILpQ1mHs,5494908,13000,23,car,0,present,0.0,1.0,0.016666668,1.0
-u0w7YzKhgg,5498175,58000,23,car,0,present,0.093,1.0,0.205,0.94
-uK5vepfvVg,5497368,0,23,car,0,present,0.195,0.7959999999999999,0.0,0.72833335
-uQkpnuwCXE,5497513,28000,23,car,0,present,0.0,1.0,0.0,0.73833334
-v6tfZ81B3A,5499054,43000,23,car,0,present,0.0,1.0,0.0,0.98
-w5Ow98kNKI,5500502,58000,23,car,0,present,0.0,1.0,0.0,1.0
-wFeJgEJqO4,5499222,13000,23,car,1,present,0.0,0.935,0.051666665999999986,0.92833334
-xPOTAOAgOA,5501270,90000,23,car,1,present,0.234,0.935,0.07666667,1.0
-xnx3868CSM,5501636,0,23,car,0,present,0.067,0.862,0.0,0.82
-yc7wCdh1BE,5502562,10000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
0-INc7wH1UM,4645292,12000,23,car,0,present,0.28300000000000003,0.76,0.29166666,0.66333336
0-mE-qYulN0,4645848,0,23,car,0,present,0.166,1.0,0.0,1.0
00ZeYKWEHyc,4630146,73000,23,car,0,present,0.0,0.999,0.15,0.8183333
01BqA5PbAB8,4630990,28000,23,car,0,present,0.0,0.831,0.23333333,1.0
01aEu9jy-zA,4631494,0,23,car,0,present,0.295,1.0,0.205,0.6016667
02IS27TbKvs,4632788,10000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
02J48TQkGbE,4632865,1153000,23,car,0,present,0.349,0.9,0.19833334,0.72333336
03mITledS20,4635077,100000,23,car,0,present,0.184,1.0,0.0,0.98333335
04jEe0lfdos,4636884,88000,23,car,0,present,0.466,1.0,0.33333334,0.7816666999999999
04p58ydbAvM,4637122,0,23,car,0,present,0.306,1.0,0.0,0.43
05O6aafeq4s,4637848,208000,23,car,0,present,0.001,0.6809999999999999,0.36166668,0.79
05v8MA6SZ54,4638695,58000,23,car,0,present,0.682,1.0,0.21,0.5416667
05x9VHjrqtw,4638826,195000,23,car,0,present,0.07400000000000001,1.0,0.46333334,0.99833333
062sFdn70K0,4640254,43000,23,car,0,present,0.0,1.0,0.16833334,0.915
07PG9KrLaKw,4640513,13000,23,car,0,present,0.002,0.997,0.24,0.955
07TBXhsosk4,4640609,0,23,car,0,present,0.0,1.0,0.12833333,1.0
07TuniaOIxY,4640626,13000,23,car,0,present,0.096,0.913,0.29333332,0.8016667
07Yd9ThEO10,4640698,13000,23,car,0,present,0.0,0.8370000000000001,0.155,0.8333333
07pyAY0R98s,4641528,43000,23,car,0,present,0.0,0.794,0.05,0.84
08M2WZ7jrLI,4642332,13000,23,car,0,present,0.0,0.769,0.0,0.84833336
09a9CQFvi2A,4643953,358000,23,car,0,present,0.401,0.9,0.43666667,0.76666665
09lBJNP_miQ,4644415,0,23,car,0,present,0.0,0.8540000000000001,0.11833333,1.0
0AjUZ6Rh0bc,4556164,0,23,car,0,present,0.0,1.0,0.07833333,1.0
0B-l9QmJK3I,4557939,88000,23,car,0,present,0.354,0.617,0.395,0.665
0BT8VIf0zyU,4557296,88000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
0Batjn0CNVE,4557367,13000,23,car,0,present,0.0,0.918,0.0,1.0
0ELH2u18Ixg,4560717,88000,23,car,0,present,0.452,1.0,0.006666666999999999,1.0
0EZmW1QS57k,4560844,0,23,car,0,present,0.306,0.8190000000000001,0.215,0.63166666
0F7inwnWGAE,4563458,0,23,car,0,present,0.108,0.8370000000000001,0.18833333,0.80833334
0F9QSTPJues,4563547,43000,23,car,0,present,0.408,0.812,0.0,0.21166667
0FHaeT0uSPU,4562417,13000,23,car,0,present,0.062,1.0,0.0,0.70666665
0FPGZ7kjyHc,4562698,358000,23,car,0,present,0.023,1.0,0.16,1.0
0FTU4bbnLlw,4562772,13000,23,car,0,present,0.0,0.8290000000000001,0.18166667,1.0
0FphWK9FJf4,4563069,0,23,car,0,present,0.014,1.0,0.27833334,0.93
0GKNenkBsog,4563729,88000,23,car,0,present,0.27,0.389,0.295,0.43333334
0GOdj-NFT9A,4563803,10000,23,car,0,present,0.104,0.8079999999999999,0.10166667,0.8616666999999999
0GOhX3FqQn0,4563825,0,23,car,0,present,0.09,0.967,0.25666666,0.76
0GXp5hu-I-A,4564182,28000,23,car,0,present,0.0,1.0,0.0,1.0
0Gal36CHm94,4564222,253000,23,car,0,present,0.341,0.525,0.39333335,0.54333335
0H81H-1s398,4567166,43000,23,car,0,present,0.109,0.193,0.38333333,0.45833334
0HhgtyvTys4,4566521,0,23,car,0,present,0.138,0.845,0.185,0.70166665
0I59jkYrnzA,4568496,43000,23,car,1,present,0.0,0.445,0.275,0.9483333
0I9E6OafgoE,4568570,0,23,car,0,present,0.108,0.71,0.18833333,0.68833333
0IVEEsJyRk0,4567708,0,23,car,0,present,0.019,1.0,0.0,0.965
0Isufvz3vtg,4568051,0,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
0JhYOSMDS5w,4569346,88000,23,car,1,absent,-1.0,-1.0,-1.0,-1.0
0JxUW6X6VTA,4569610,388000,23,car,0,present,0.438,0.512,0.34333333,0.41
0KZqtV__wsI,4570589,28000,23,car,1,present,0.055,1.0,0.0,1.0
0KuSPIJ0Q-k,4571166,60000,23,car,0,present,0.123,0.565,0.26833335,0.805
0LVg1atBgT0,4571700,538000,23,car,0,present,0.0,1.0,0.0,0.8
0MGejR25j-Q,4572790,0,23,car,0,present,0.0,1.0,0.0,1.0
0MrZYXlp4ko,4573499,90000,23,car,1,present,0.0,0.688,0.0,1.0
0NAFNUIJiek,4573896,15000,23,car,0,present,0.087,1.0,0.29666665,1.0
0NN0x0UcFVI,4574122,27000,23,car,0,present,0.245,0.687,0.23666666,0.8283333
0NgLxOGQPPM,4574707,43000,23,car,1,present,0.0,0.039,0.66333336,0.8883333000000001
0O2cDoxCAhA,4576171,0,23,car,0,present,0.102,0.8740000000000001,0.25333333,0.68833333
0OH_ZVpw3dw,4575306,0,23,car,0,present,0.026,0.983,0.20333333,0.9166667
0PlFe3erl18,4577027,0,23,car,0,present,0.285,0.743,0.19666667,0.7683333000000001
0Pu-qv3Myk0,4577266,28000,23,car,0,present,0.0,0.963,0.295,0.925
0Q2zQUU5Z7U,4579148,148000,23,car,0,present,0.0,0.951,0.11,1.0
0Q7redIVCV0,4579391,28000,23,car,0,present,0.21600000000000005,0.915,0.365,0.67833334
0QOwNd7pOUw,4578291,0,23,car,0,present,0.063,0.934,0.36333334,0.69
0QecvRjFwMQ,4578683,0,23,car,0,present,0.301,0.408,0.21666667,0.28333333
0SFeGqloZP8,4580933,43000,23,car,0,present,0.132,0.938,0.07833333,0.98333335
0TcHuoEFhKw,4582835,0,23,car,0,present,0.093,1.0,0.0016666667,0.9066667
0TxDa8cddc4,4583417,13000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
0U3BNUrUWyk,4584980,0,23,car,0,present,0.027000000000000003,1.0,0.0,1.0
0UGD0u7LEPY,4584034,58000,23,car,0,present,0.157,0.653,0.25,0.84
0UVJn4oJR3I,4584403,28000,23,car,0,present,0.181,0.8340000000000001,0.395,0.93833333
0UntvyF7890,4584651,13000,23,car,0,present,0.0,1.0,0.09166667,0.805
0Uq6lnz19O0,4584823,41000,23,car,0,present,0.316,0.5710000000000001,0.28333333,0.635
0VcnAe2nyAc,4585721,13000,23,car,0,present,0.369,0.64,0.43166667,0.62666667
0VqyhS8JaOY,4585967,0,23,car,0,present,0.179,0.726,0.29666665,0.90166664
0W29GRtSgJg,4587606,0,23,car,0,present,0.239,0.8959999999999999,0.15166667,0.79
0WEE6jCoZJo,4586670,13000,23,car,0,present,0.001,0.413,0.22166666,1.0
0WhTDsCYe6g,4587172,74000,23,car,1,present,0.0,1.0,0.28833333,1.0
0X-4ngVTIsY,4589396,0,23,car,0,present,0.0,1.0,0.0,0.79833335
0Y3Oi4z06G8,4590919,0,23,car,0,present,0.0,1.0,0.13833334,1.0
0YWXAZlIFZE,4590002,58000,23,car,7,present,0.598,1.0,0.5833333,1.0
0Z2aRBZkdyk,4592345,28000,23,car,0,present,0.0,1.0,0.0,1.0
0ZvTXWaiqDU,4592232,328000,23,car,0,present,0.0,1.0,0.0,1.0
0_BfKTt6k3M,4646615,13000,23,car,0,present,0.0,1.0,0.0,1.0
0_LzCv6DLTs,4646894,0,23,car,0,present,0.0,0.947,0.01,1.0
0aTa2qF2g8c,4592919,103000,23,car,0,present,0.042,0.96,0.0,0.93
0a_2Hmj-KgQ,4593863,0,23,car,0,present,0.111,0.915,0.25166667,0.72833335
0axKTQFMu58,4593392,223000,23,car,0,absent,-1.0,-1.0,-1.0,-1.0
0b6tPXsuvyI,4595476,0,23,car,0,present,0.194,0.996,0.12166667,0.87166667
0bO0BBwnx_E,4594118,58000,23,car,0,present,0.14800000000000002,0.809,0.05666667,0.46166667
0bQz4Y0GyzM,4594247,13000,23,car,0,present,0.0,0.924,0.0,0.92
0bTIGthFJCw,4594304,0,23,car,0,present,0.0,1.0,0.0,0.675
0c5dV9e0rL0,4596674,28000,23,car,0,present,0.57,0.659,0.26833335,0.385
0cDyXxeKucg,4595683,0,23,car,0,present,0.211,0.743,0.0,0.81
0ePD_da2yIY,4598650,13000,23,car,0,present,0.001,0.7879999999999999,0.008333334,0.985
0eYC9PLxWv4,4598985,0,23,car,0,present,0.039,0.912,0.31333333,0.7866666999999999
0fJLL3BrVJU,4599722,28000,23,car,0,present,0.006999999999999999,1.0,0.083333336,0.93666667
0gEjnwp_wfA,4601208,148000,23,car,0,present,0.0,1.0,0.0,1.0
0gXNpuufFKE,4601565,0,23,car,0,present,0.0,1.0,0.0,1.0
0hDSp0KAFHo,4602195,0,23,car,0,present,0.104,0.765,0.0,0.63666666
0hN_l5bvlU8,4602362,0,23,car,0,present,0.09,1.0,0.11833333,0.835
0iPCyEcQrnw,4604248,0,23,car,0,present,0.0,1.0,0.0,1.0
